,,,
, Order Number , Cancel Stakeholder , Cancel Reason 
,"201712012704338,000", Buyer , Get lower price 
,"201710101988770,000", Seller , Sold out 
,"201712072779103,000", Seller , No response from seller 
,"201710182113347,000", Buyer , Misplaced Order 
,"201710162084422,000", Seller , Sold out 
,"201709021286715,000", Buyer , Misplaced Order 
,"201708211012070,000", System , No response from seller 
,"201709301846274,000", Seller , Sold out 
,"201708020453621,000", Buyer , Misplaced Order 
,"201711162517918,000", System , No response from seller 
,"201709281802393,000", Seller , No response from seller 
,"201712032723789,000", Seller , No response from seller 
,"201709121520122,000", Seller , Sold out 
,"201711042339693,000", Seller , Delivery Delay 
,"201711202563585,000", Buyer , Misplaced Order 
,"201712092805898,000", System , No response from seller 
,"201707079307575,000", Buyer , Customer’s change of mind 
,"201711042338254,000", Seller , Sold out 
,"201711132477549,000", Seller , No response from seller 
,"201711082399409,000", Seller , No response from seller 
,"201709051360292,000", Buyer , Get lower price 
,"201709111505798,000", Seller , No response from seller 
,"201709241730958,000", Seller , No response from seller 
,"201712112834580,000", System , No response from seller 
,"201710081957250,000", Seller , Sold out 
,"201707049117000,000", System , No response from seller 
,"201709221697976,000", Buyer , Get lower price 
,"201711062374114,000", Seller , Sold out 
,"201712092805582,000", System , No response from seller 
,"201712052753365,000", Seller , Sold out 
,"201712052750051,000", Seller , No response from seller 
,"201710031883824,000", Seller , Sold out 
,"201708271154331,000", Seller , Sold out 
,"201709111510325,000", Seller , No response from seller 
,"201707109460652,000", Seller , No response from seller 
,"201710132030597,000", Seller , Delivery Delay 
,"201708291206316,000", Seller , No response from seller 
,"201709031296395,000", Seller , No response from seller 
,"201708200992374,000", Seller , No response from seller 
,"201709051355526,000", Seller , No response from seller 
,"201709101491131,000", Seller , No response from seller 
,"201707079276535,000", Seller , No response from seller 
,"201709221698522,000", Seller , No response from seller 
,"201707079271429,000", Seller , Sold out 
,"201710112002296,000", Seller , No response from seller 
,"201712022714623,000", Seller , No response from seller 
,"201712072779964,000", System , No response from seller 
,"201707159721930,000", System , No response from seller 
,"201710132039111,000", Seller , No response from seller 
,"201709091460976,000", Seller , Sold out 
,"201708291189089,000", Seller , No response from seller 
,"201710021863671,000", Seller , Incorrect price information 
,"201708241103115,000", Seller , No response from seller 
,"201711092408592,000", Seller , No response from seller 
,"201710242183892,000", Seller , No response from seller 
,"201707159711297,000", System , No response from seller 
,"201710152063214,000", Seller , No response from seller 
,"201712052752618,000", Buyer , Get lower price 
,"201709071404533,000", Seller , No response from seller 
,"201708311235512,000", Seller , No response from seller 
,"201707240087678,000", System , No response from seller 
,"201707290319900,000", System , No response from seller 
,"201712112835966,000", System , No response from seller 
,"201707139614655,000", System , No response from seller 
,"201710162071823,000", System , No response from seller 
,"201712052752015,000", Seller , No response from seller 
,"201710172101278,000", Seller , No response from seller 
,"201712092803410,000", System , No response from seller 
,"201709251745588,000", Seller , Sold out 
,"201711092414018,000", Seller , No response from seller 
,"201712072783783,000", System , No response from seller 
,"201707220012516,000", Seller , No response from seller 
,"201712012701521,000", Seller , Sold out 
,"201710312278289,000", Buyer , Get lower price 
,"201712082789022,000", Seller , No response from seller 
,"201708291205365,000", Seller , Sold out 
,"201711022310416,000", Seller , No response from seller 
,"201710051915741,000", Seller , No response from seller 
,"201708090709378,000", System , No response from seller 
,"201710202140476,000", Buyer , Misplaced Order 
,"201709011265313,000", Seller , No response from seller 
,"201712022714958,000", System , No response from seller 
,"201707139611564,000", Buyer , Misplaced Order 
,"201711272644895,000", Seller , No response from seller 
,"201709011268466,000", Seller , No response from seller 
,"201711012295130,000", Seller , No response from seller 
,"201711072388250,000", Buyer , Customer’s change of mind 
,"201710152066626,000", Seller , Incorrect price information 
,"201707260168891,000", Buyer , Get lower price 
,"201712062763861,000", Buyer , Misplaced Order 
,"201710302258130,000", System , No response from seller 
,"201707028976822,000", Buyer , Get lower price 
,"201712012706217,000", Seller , No response from seller 
,"201711262634287,000", Seller , No response from seller 
,"201712052749729,000", System , No response from seller 
,"201710192130778,000", Seller , No response from seller 
,"201712012707234,000", System , No response from seller 
,"201711152507073,000", Seller , Sold out 
,"201710101993520,000", Seller , No response from seller 
,"201711292681873,000", Seller , No response from seller 
,"201712042740007,000", Seller , No response from seller 
,"201707119509270,000", Seller , No response from seller 
,"201711262637978,000", Buyer , Misplaced Order 
,"201712092803919,000", System , No response from seller 
,"201711032323486,000", System , No response from seller 
,"201707049079205,000", System , No response from seller 
,"201711292680944,000", Seller , Sold out 
,"201707149700373,000", Seller , No response from seller 
,"201712072779289,000", Seller , No response from seller 
,"201711162518530,000", Seller , No response from seller 
,"201711152504695,000", Buyer , Misplaced Order 
,"201711052355828,000", Seller , Sold out 
,"201709041324166,000", Seller , Sold out 
,"201712092804335,000", System , No response from seller 
,"201709031310758,000", Seller , Sold out 
,"201708291204994,000", Seller , Sold out 
,"201711032328264,000", Seller , Sold out 
,"201712092805501,000", System , No response from seller 
,"201709301836164,000", Seller , Sold out 
,"201709251745323,000", Seller , Sold out 
,"201707059158142,000", Seller , No response from seller 
,"201711032320144,000", Seller , No response from seller 
,"201712102810692,000", Buyer , Misplaced Order 
,"201707149683443,000", Seller , Sold out 
,"201708261127879,000", Seller , No response from seller 
,"201708100730751,000", Seller , Sold out 
,"201710222166834,000", Seller , Sold out 
,"201709111500085,000", Seller , No response from seller 
,"201709021286913,000", Seller , Delivery Delay 
,"201711192552564,000", Seller , No response from seller 
,"201712012706023,000", Seller , No response from seller 
,"201712112839070,000", System , No response from seller 
,"201712112831526,000", Buyer , Misplaced Order 
,"201710312278980,000", Seller , Sold out 
,"201710101981788,000", Seller , No response from seller 
,"201711122458704,000", Buyer , Misplaced Order 
,"201712062763911,000", System , No response from seller 
,"201707169754355,000", System , No response from seller 
,"201707139648709,000", Seller , No response from seller 
,"201710122025617,000", Seller , Delivery Delay 
,"201711302693021,000", Seller , Sold out 
,"201710162075703,000", Seller , Sold out 
,"201708040548274,000", Buyer , Misplaced Order 
,"201712032724536,000", Seller , No response from seller 
,"201709281809278,000", Buyer , Customer’s change of mind 
,"201711232604918,000", Seller , Sold out 
,"201711162521405,000", Seller , Sold out 
,"201712022713380,000", Buyer , Misplaced Order 
,"201707189858191,000", System , No response from seller 
,"201707290313753,000", System , No response from seller 
,"201710132033630,000", Buyer , Misplaced Order 
,"201712092803809,000", System , No response from seller 
,"201710192128790,000", Seller , No response from seller 
,"201709191656471,000", Seller , Incorrect price information 
,"201708150867447,000", System , No response from seller 
,"201712072785841,000", Buyer , Misplaced Order 
,"201710122023742,000", Seller , Sold out 
,"201711222589443,000", Buyer , Misplaced Order 
,"201708311235004,000", Seller , No response from seller 
,"201710031878538,000", System , No response from seller 
,"201711022301954,000", Seller , No response from seller 
,"201710112001801,000", Buyer , Customer’s change of mind 
,"201711292683437,000", Seller , No response from seller 
,"201710101984597,000", Buyer , Get lower price 
,"201712102820531,000", System , No response from seller 
,"201711212576470,000", Seller , Sold out 
,"201709291827658,000", Buyer , Get lower price 
,"201710152060927,000", Seller , No response from seller 
,"201710182114427,000", Buyer , Misplaced Order 
,"201707179794984,000", Seller , Sold out 
,"201709211687834,000", Buyer , Customer’s change of mind 
,"201712052749292,000", Seller , No response from seller 
,"201708221037249,000", Seller , Sold out 
,"201707119504460,000", Buyer , Get lower price 
,"201710081950801,000", Buyer , Get lower price 
