Order Number,Purchase Confirmation Date
"20,170,811,075,512,000,000",20170811
"20,170,815,088,172,200,000",20170817
"20,170,806,060,439,300,000",20170806
"20,170,814,083,486,600,000",20170814
"20,170,822,104,842,000,000",20170822
"20,170,831,124,752,600,000",20170831
"20,170,818,094,024,700,000",20170823
"20,170,830,121,386,400,000",20170830
"20,170,831,125,042,800,000",20170831
"20,170,816,088,742,700,000",20170816
"20,170,809,069,711,900,000",20170819
"20,170,802,047,764,200,000",20170831
"20,170,821,099,574,100,000",20170823
"20,170,812,079,071,000,000",20170812
"20,170,828,118,400,300,000",20170828
"20,170,806,058,973,300,000",20170812
"20,170,807,061,903,800,000",20170808
"20,170,808,067,368,700,000",20170808
"20,170,824,109,246,800,000",20170824
"20,170,806,058,426,800,000",20170811
"20,170,819,096,769,200,000",20170819
"20,170,817,092,404,300,000",20170817
"20,170,819,096,085,100,000",20170819
"20,170,829,120,385,900,000",20170830
"20,170,801,040,040,300,000",20170809
"20,170,805,055,462,000,000",20170805
"20,170,822,105,054,300,000",20170822
"20,170,826,113,350,600,000",20170827
"20,170,810,073,346,500,000",20170810
"20,170,818,095,219,300,000",20170818
"20,170,826,114,024,500,000",20170826
"20,170,829,119,195,600,000",20170829
"20,170,825,110,428,500,000",20170828
"20,170,803,048,524,900,000",20170803
"20,170,808,065,552,100,000",20170808
"20,170,803,048,334,600,000",20170803
"20,170,826,113,687,200,000",20170826
"20,170,802,044,162,500,000",20170802
"20,170,819,096,152,300,000",20170822
"20,170,816,090,670,500,000",20170816
"20,170,810,072,277,500,000",20170810
"20,170,818,093,985,800,000",20170818
"20,170,808,065,283,500,000",20170808
"20,170,804,054,628,700,000",20170812
"20,170,829,118,984,900,000",20170829
"20,170,822,105,740,100,000",20170822
"20,170,919,164,739,800,000",20170927
"20,170,831,125,492,000,000",20170914
"20,170,915,158,951,100,000",20170926
"20,170,910,147,813,900,000",20170910
"20,170,926,177,351,500,000",20171003
"20,170,924,173,346,700,000",20170929
"20,170,909,147,084,900,000",20170916
"20,170,919,166,120,000,000",20171004
"20,170,908,142,736,900,000",20170908
"20,170,927,178,982,400,000",20171004
"20,170,918,164,178,700,000",20170923
"20,170,929,181,842,000,000",20171002
"20,170,902,128,457,100,000",20170908
"20,170,907,141,891,000,000",20170914
"20,170,929,182,558,100,000",20170929
"20,170,928,180,977,600,000",20170928
"20,170,904,132,282,600,000",20170908
"20,170,917,161,298,000,000",20170917
"20,170,919,165,005,000,000",20170926
"20,170,907,141,793,900,000",20170907
"20,170,905,136,609,600,000",20170907
"20,170,914,156,325,000,000",20170914
"20,170,918,162,595,900,000",20170926
"20,170,904,131,980,700,000",20170912
"20,170,914,155,877,300,000",20170918
"20,170,923,171,320,400,000",20170923
"20,170,927,178,942,400,000",20171003
"20,170,928,180,639,200,000",20171002
"20,170,919,165,571,300,000",20170927
"20,170,916,160,103,900,000",20170923
"20,170,921,169,367,100,000",20170921
"20,170,930,184,094,300,000",20171004
"20,170,911,151,179,300,000",20170911
"20,170,927,178,874,900,000",20171004
"20,170,924,172,712,400,000",20170924
"20,170,910,148,910,600,000",20170910
"20,170,917,160,984,500,000",20170926
"20,170,905,137,208,300,000",20170908
"20,170,830,122,707,900,000",20170908
"20,170,905,135,537,300,000",20170911
"20,170,905,136,994,000,000",20170914
"20,170,914,155,858,500,000",20170914
"20,170,906,139,933,800,000",20170906
"20,170,903,130,445,300,000",20170913
"20,170,902,128,538,300,000",20170912
"20,170,926,176,685,800,000",20171005
"20,170,914,155,832,800,000",20170916
"20,170,829,120,767,600,000",20170912
"20,170,924,173,354,200,000",20170930
"20,170,928,179,882,700,000",20171004
"20,171,016,207,816,100,000",20171025
"20,171,021,215,047,400,000",20171028
"20,171,023,217,634,500,000",20171027
"20,171,014,205,345,700,000",20171024
"20,171,021,215,285,000,000",20171021
"20,171,010,198,110,300,000",20171011
"20,171,010,197,669,400,000",20171011
"20,171,007,194,233,400,000",20171014
"20,171,020,214,037,000,000",20171020
"20,171,027,223,137,800,000",20171108
"20,171,007,194,314,200,000",20171007
"20,171,029,225,301,400,000",20171029
"20,171,027,223,316,800,000",20171027
"20,171,022,215,917,600,000",20171101
"20,171,010,199,192,600,000",20171010
"20,171,029,225,260,800,000",20171107
"20,171,009,195,930,400,000",20171009
"20,171,017,209,966,100,000",20171017
"20,171,012,201,923,200,000",20171019
"20,171,011,201,208,400,000",20171018
"20,171,011,200,081,800,000",20171018
"20,171,005,191,003,800,000",20171014
"20,171,003,187,493,000,000",20171007
"20,171,012,202,614,800,000",20171017
"20,171,031,228,379,200,000",20171031
"20,171,023,216,928,100,000",20171028
"20,171,011,200,984,500,000",20171011
"20,171,002,186,001,900,000",20171002
"20,171,006,192,057,600,000",20171011
"20,171,030,226,180,100,000",20171107
"20,170,707,927,325,700,000",20170718
"20,170,707,927,683,700,000",20170714
"20,170,706,922,352,700,000",20170710
"20,170,726,016,205,100,000",20170802
"20,170,630,887,385,400,000",20170720
"20,170,722,002,291,900,000",20170722
"20,170,713,961,383,300,000",20170713
"20,170,718,984,521,600,000",20170718
"20,170,702,896,149,800,000",20170710
"20,170,701,893,018,900,000",20170701
"20,170,724,007,696,000,000",20170724
"20,170,706,921,797,500,000",20170711
"20,170,702,898,709,300,000",20170702
"20,170,707,929,668,800,000",20170707
"20,170,731,037,031,600,000",20170731
"20,170,712,956,159,000,000",20170712
"20,170,715,972,183,200,000",20170721
"20,170,720,992,944,500,000",20170726
"20,170,716,976,582,200,000",20170716
"20,170,720,993,133,500,000",20170720
"20,170,710,944,897,000,000",20170712
"20,170,725,014,941,600,000",20170725
"20,170,704,913,115,400,000",20170704
"20,170,729,029,833,400,000",20170729
"20,170,703,907,361,000,000",20170706
"20,170,706,919,774,600,000",20170706
"20,170,724,007,036,900,000",20170724
"20,170,719,990,015,500,000",20170719
"20,170,704,913,284,700,000",20170704
"20,170,705,917,268,100,000",20170720
"20,170,720,991,168,000,000",20170722
"20,170,713,965,011,000,000",20170719
"20,170,728,027,944,000,000",20170728
"20,170,727,022,498,700,000",20170803
"20,170,630,888,005,100,000",20170708
"20,170,725,014,124,300,000",20170725
"20,170,707,926,404,000,000",20170711
"20,170,731,035,586,600,000",20170731
"20,170,706,918,454,700,000",20170706
"20,170,701,891,328,600,000",20170701
"20,170,710,946,478,700,000",20170715
"20,170,623,852,963,200,000",20170701
"20,170,727,022,218,100,000",20170727
"20,170,713,964,510,500,000",20170713
"20,170,727,020,916,800,000",20170727
"20,170,712,954,744,900,000",20170720
"20,170,704,908,081,000,000",20170704
"20,170,710,947,022,400,000",20170718
"20,170,708,932,495,000,000",20170714
"20,170,719,987,740,400,000",20170726
"20,170,703,902,470,200,000",20170704
"20,170,727,022,931,800,000",20170727
"20,170,710,944,647,300,000",20170710
"20,170,801,042,785,000,000",20170803
"20,170,818,094,629,800,000",20170828
"20,170,816,090,634,100,000",20170816
"20,170,801,042,909,100,000",20170801
"20,170,816,088,923,800,000",20170825
"20,170,812,078,647,500,000",20170812
"20,170,815,087,254,600,000",20170815
"20,170,814,083,475,400,000",20170822
"20,170,822,103,315,300,000",20170822
"20,170,814,083,172,900,000",20170814
"20,170,823,106,883,500,000",20170823
"20,170,816,090,101,100,000",20170825
"20,170,823,107,314,700,000",20170823
"20,170,804,054,476,200,000",20170810
"20,170,801,042,678,400,000",20170801
"20,170,806,058,645,500,000",20170806
"20,170,801,042,947,200,000",20170801
"20,170,805,057,892,000,000",20170809
"20,170,812,080,180,800,000",20170823
"20,170,820,098,007,000,000",20170825
"20,170,805,057,307,700,000",20170817
"20,170,803,050,501,000,000",20170803
"20,170,826,113,705,000,000",20170826
"20,170,806,060,299,700,000",20170806
"20,170,802,046,045,700,000",20170802
"20,170,813,082,169,400,000",20170813
"20,170,820,098,597,800,000",20170823
"20,170,810,073,385,100,000",20170810
"20,170,817,092,368,800,000",20170817
"20,170,817,091,439,000,000",20170825
"20,170,801,041,278,100,000",20170809
"20,170,817,092,424,300,000",20170817
"20,170,802,044,620,700,000",20170831
"20,170,825,112,413,500,000",20170825
"20,170,802,046,471,200,000",20170809
"20,170,810,072,169,000,000",20170810
"20,170,814,085,653,000,000",20170815
"20,170,823,107,632,800,000",20170823
"20,170,804,053,614,300,000",20170804
"20,170,731,037,603,800,000",20170808
"20,170,830,121,191,100,000",20170830
"20,170,825,110,721,500,000",20170825
"20,170,805,057,105,100,000",20170805
"20,170,807,061,193,700,000",20170807
"20,170,811,077,890,400,000",20170811
"20,170,821,100,344,400,000",20170821
"20,170,822,105,081,400,000",20170822
"20,170,824,108,261,200,000",20170824
"20,170,820,099,026,500,000",20170820
"20,170,809,069,056,500,000",20170809
"20,170,822,104,314,600,000",20170906
"20,170,804,052,811,500,000",20170804
"20,170,802,047,734,600,000",20170802
"20,170,907,141,382,200,000",20170913
"20,170,913,153,919,800,000",20170917
"20,170,913,155,539,000,000",20170913
"20,170,914,156,913,300,000",20170921
"20,170,905,137,588,100,000",20170905
"20,170,927,177,934,000,000",20171004
"20,170,911,150,077,300,000",20170919
"20,170,927,178,496,500,000",20170927
"20,170,902,128,304,000,000",20170912
"20,170,911,150,447,400,000",20170911
"20,170,903,130,944,800,000",20170913
"20,170,913,154,885,200,000",20170919
"20,170,908,143,331,900,000",20170908
"20,170,904,132,180,000,000",20170909
"20,170,912,153,299,200,000",20170912
"20,170,927,179,366,100,000",20171004
"20,170,918,163,454,900,000",20170923
"20,170,909,147,124,000,000",20170912
"20,170,929,182,565,300,000",20171005
"20,170,927,178,471,800,000",20170930
"20,170,911,150,907,600,000",20170911
"20,170,907,141,834,900,000",20170915
"20,170,911,150,486,100,000",20170914
"20,170,905,137,185,400,000",20170907
"20,170,919,164,695,400,000",20170919
"20,170,917,161,693,700,000",20170917
"20,170,925,174,696,500,000",20170925
"20,170,921,168,637,700,000",20170921
"20,170,902,129,394,300,000",20170908
"20,170,924,172,726,500,000",20170930
"20,170,908,143,265,000,000",20170920
"20,170,903,131,255,000,000",20170905
"20,170,915,157,632,400,000",20170915
"20,170,927,178,951,200,000",20170927
"20,170,930,183,830,200,000",20171010
"20,170,919,165,217,700,000",20170927
"20,170,922,169,861,100,000",20170922
"20,170,919,165,084,100,000",20170926
"20,170,915,158,076,500,000",20170920
"20,170,928,180,934,300,000",20171005
"20,170,929,181,924,000,000",20170929
"20,170,908,142,934,600,000",20170913
